parent_id,verdict,finding,limitation,sources
historical__X00515857,Connection supported,"A July 2023 sale describes 2180 Walton and 2183 Morris as one block-through site, bought by Arben Mitaj from Morris Walton Owners.",Later common sale supports site identity but does not by itself establish initial 2021 decision ownership.,https://traded.co/deals/new-york/development-site/sale/2180-walton-avenue-2183-morris-avenue/
historical__X00561795,Connection supported; timing concern,Reciprocal DOB descriptions name the two towers. DEC plans identify Buildings A and B on one zoning arrangement but separate tax lots.,Public reporting describes Beitel assembling sites in 2022 and earlier 261 plans with 96 units; the 2021 anchor paired with later revised units is not a frozen initial proposal.,https://extapps.dec.ny.gov/data/DecDocs/C203151/Work%20Plan.BCP.C203151.2024-03-12.RAWP.pdf ; https://commercialobserver.com/2022/12/south-bronx-development-sites-trade-for-37m/
historical__M00599489,Connection supported,Reciprocal/related DOB job reference and common Miramar development at 405/407 West 206th corroborate the pair.,Subsidy and unit-date interpretation must use the existing model exposure definitions.,https://nyrej.com/print/56366
historical__B00608472,Connection supported,Reciprocal DOB references connect 600/612 and 630 Crown; project engineer York Tower lists 600-630 Crown as one project.,Address alias 600 versus 612 and initial press 94 versus panel 100 at the first building should be retained as measurement history.,https://yorktower.com/portfolio-items/600-crown-st-brooklyn-ny-11213-2/ ; https://www.pincusco.com/chaim-drizin-files-plans-for-94-unit-resi-building-81-unit-resi-building-in-crown-heights/
historical__B00625252,Connection supported; unit aggregation concern,"The three saved descriptions identify D6 East, D6 West and D5 under a common owner and tax lot.","Each saved DOB I1 record says 899 units, whereas HDB records 513, 70 and 333. Summing the DOB values likely repeats a development total; building unit schedules are needed.","Saved DOB jobs B00625252,B00643705,B00649561 and HDB25Q4; external search did not yet establish a matching three-address unit schedule."
historical__B00611166,Connection supported,"DOB labels Buildings A and B and reciprocally references their job numbers, with a common owner and architect.",HDB addresses 498 Union and 417 Carroll differ from panel addresses 310 and 340 Nevins. Use job IDs to follow these aliases.,"Saved DOB jobs B00611166 and B00611202, captured July2026."
historical__X00521651,Separate projects recommended,"ACRIS records a September 2, 2021 zoning ownership statement for East 232 Builders covering block 4846 lot 1 alone. The neighboring filing uses lot 85, whose August 29, 2017 deed transfers title to YBX 4175 LLC. Saved DOB and public reporting name different sponsors and architects.",Evidence favors splitting 10 and 55 units. Ultimate affiliations are not conclusively excluded; the 769 unit/area schedule remains unverified. ACRIS indexes lot 85 under 4185 Barnes Avenue.,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2021090800775002 ; https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2017091400572001 ; https://www.newyorkyimby.com/2023/05/permits-filed-for-767-east-232nd-street-in-wakefield-the-bronx.html ; https://blog.marketproof.com/new-building-permit-filed-for-769-east-232-street-in-wakefield-bronx/
historical__Q00646746,Four-building boundary accepted; unit vintage retained,"September 10: GEI December 2023 section 1.6 assigns Buildings 3A/3B, 4 and 5 to blocks/lots 906/1, 906/5, 909/35 and 908/12. These are the four same-day January 13, 2022 filings. The manual source now joins the two former parents.",The saved 138+108+90+240 = 576 is retained. Later 2025 supporting filings and financing describe a revised 731-unit program; the combined boundary does not certify a frozen initial unit schedule.,https://extapps.dec.ny.gov/data/DecDocs/C241295/Application.BCP.C241295.2023-12-01.Phase%20I%20Report%20.pdf
historical__Q00646754,Four-building boundary accepted; unit vintage retained,"September 10: GEI December 2023 section 1.6 assigns Buildings 3A/3B, 4 and 5 to blocks/lots 906/1, 906/5, 909/35 and 908/12. These are the four same-day January 13, 2022 filings. The manual source now joins the two former parents.",The saved 138+108+90+240 = 576 is retained. Later 2025 supporting filings and financing describe a revised 731-unit program; the combined boundary does not certify a frozen initial unit schedule.,https://extapps.dec.ny.gov/data/DecDocs/C241295/Application.BCP.C241295.2023-12-01.Phase%20I%20Report%20.pdf
historical__S00661661,Common development retained; later program corroborated,"September 10: PINE Custom Homes lists 8 Stuyvesant as 280 dwellings and 178 Richmond as 393, matching saved units. The unchanged 172 Richmond component is 126. This supports the saved 799 as a later program rather than an arithmetic error.",PINE page is undated. Earlier sources describe 625 and 637; retain the vintage distinction. Initial choice remains unresolved if the estimator requires first-filed rather than observed proposed units.,https://www.pinecustomhomes.com/wip-builds ; https://www.pincusco.com/madison-realty-capital-files-plans-for-three-buildings-for-a-total-of-637-units-in-staten-island/
historical__B00678516,Three-building membership applied; building history unresolved,"A December 29, 2025 ACRIS zoning declaration groups block 2570 lots 5 (3 West), 10 (7 Wharf) and 30 with other waterfront parcels under M & H and West Development entities. Saved DOB has common Halcyon sponsorship and close filing dates.","Common development is supported, but do not adopt 822 mechanically. PincusCo attaches 104 units and nine stories to the same 30 Wharf job that saved data describes as 483 units and forty stories. Resolve building identity/revisions and phase boundaries first. September 10: the DOS Greenpoint package returned an unavailable-page notice in Browser and HTTP 403 through Make; no new unit override is justified.",https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2025122900409002 ; https://www.pincusco.com/property/30-wharf-drive/
historical__Q00683000,Connection supported,Project architect PPA groups both Janet Place addresses and 131-35 Roosevelt in Flushing Waterfront Phase I.,The wider development includes nonresidential space and phases; do not add buildings without positive residential unit evidence.,https://www.ppaarchitects.com/janet-place-1 ; https://unitedgroupny.com/portfolio/janet-place-phase-one-special-flushing-waterfront-district/
historical__M00771041,Connection supported,ZD Jasper bought and developed 489/501 Ninth together; a joint condominium offering is publicly reported.,Public 122-unit condo offering versus panel 121 requires date/superintendent reconciliation if exact counts matter.,https://therealdeal.com/new-york/2022/10/17/queens-developer-touches-down-on-the-far-west-side/ ; https://www.pincusco.com/zd-jasper-submits-122-unit-condo-plan-in-hudson-yards-no-sellout-price-given/
historical__Q00702943,Internal connection supported,"Three same-date filings share lot, owner and HillWest architect; distinct addresses and unit counts support three proposed structures.",No directly matching external source was recovered in the initial address search; independent unit schedule remains unverified.,"Saved DOB Q00702943,Q00703443,Q00713747 and HDB25Q4."
historical__Q08032504,Connection and counts supported,"HDC March 2023 resolution names both addresses and 534+347=881 units, exactly matching the panel.","This verifies that proposal vintage, not every later design or legal treatment.",https://www.nychdc.com/sites/default/files/2023-03/7.D.%20Approval%20of%20Declaration%20Intent%20Resoultions-Willets%20Point%20-combined.pdf
post_policy__Q01177691-I1,Three-building membership applied; address crosswalk incomplete,Commercial Observer explicitly groups 137/155 Beach 30th with 139 Beach 29th as a 230-unit Hirsch development. ZAP 2026Q0143 independently groups the two Beach 30th buildings on one zoning lot and includes saved lot 44.,"139 Beach 29th is a strong economic-parent addition. ZAP approval covers the two Beach 30th buildings, not all three. Exact 147/155 job-to-address mapping remains incomplete because the linked approval package did not open.",https://zap.planning.nyc.gov/projects/2026Q0143 ; https://commercialobserver.com/2025/11/new-apartment-buildings-coming-far-rockaway-queens/
post_policy__B01172199-I1,Documented companion included,"The August 2025 DEC amendment documents one owner, Bergen St Equity LLC, and reapportionment into 270, 280, 290-298 Bergen and 265 Wyckoff. It names Katz/Developing NYS, matching saved DOB sponsorship.",Job B01178945 is now included for economic-parent membership: 99+99+99+70=367 using saved units. This is not a determination of legal wage assessment.,https://extapps.dec.ny.gov/data/DecDocs/C224403/Agreement.BCP.C224403.2025-08-15.Amendment_No1_Change_Owner_Modify_Description.pdf
post_policy__B00738795-I1,Connection supported,"DEC C Block work plan names 21 Freeman as C 1, 37 Freeman as C 2, and 209 West as C 3, corroborating three distinct constituents.",March 2025 press counts differ from HDB 25Q4; membership and initial-date measurement are separate.,https://extapps.dec.ny.gov/data/DecDocs/C224435/Work%20Plan.BCP.C224435.2026-02-23.DRAFT%20-%20Remedial%20Action%20Work%20Plan%20-%20Appendix%20G.pdf ; https://newyorkyimby.com/2025/03/permits-filed-for-30-40-story-towers-in-greenpoint-brooklyn.html
post_policy__X01171565-I1,Connection supported; housing definition concern,Both adjacent same-day filings name PIBLY/Patricia Alfano and Amie Gross. Descriptions distinguish supportive and mixed-use affordable buildings.,545 has HDB Class A zero but DOB 27; class A dwellings versus supportive beds/use groups must be reconciled before summing 96.,"Saved DOB X01171565,X01171568 andHDB25Q4; https://www.pincusco.com/property/543-east-181-street/"
post_policy__Q01189789-I1,Replacement filings counted as additional buildings,"The two March 2025 jobs were withdrawn February 24, 2026. New filings on February 25 have the same respective BINs, lots, owner and architect, with 98 and 56 units.",The panel sums four applications to 350. The old proposal was 196 and the replacement is 154; these alternatives should not be added. Cohort dating still requires a decision.,"Saved DOB Q01189789,Q01189872,Q01360563,Q01360583; https://www.pincusco.com/property/159-14-hillside-avenue/"
post_policy__X01150556-I1,Internal connection supported; broader boundary unresolved,Same Vaja/Moses Freund ownership and Leandro Dickson architect support the linked 56+57 pair despite 204-day gap.,Nearby 1660 Boone is the same sponsor and architect but across a street; whether it is one economic opportunity needs project evidence.,"Saved DOB X01150556,X01288603,X01150558; public address search did not recover a joint project source."
post_policy__X01150558-I1,Separate projects recommended,"1660 has a July 2025 zoning declaration by Boone Avenue Flats LLC for block 3015 lot 1; its zoning drawing depicts that separate site. The April 4, 2025 contract memorandum for AJ Boone LLC covers lots 3 and 5 at 1674/1680, excluding lot 1.","Split the 80- and 340-unit proposals unless affirmative evidence of common economic control emerges. The 1674 instrument is a contract memorandum, not proof of a completed conveyance.","https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2025071500857001 ; https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2025040900379001 ; https://www.pincusco.com/property-data/ZD1_X01150558_1.pdf ; Saved DOB X01150558,X01229428; https://extapps.dec.ny.gov/data/DecDocs/C203130/Report.BCP.C203130.2018-12-11.Phase%20I%20-%20Equity%20Environmental.pdf"
post_policy__X01202004-I1,Connection supported,"Reciprocal DOB descriptions explicitly identify the 56- and 72-unit buildings as filed together, with John Alleyne as applicant.",The filed descriptions support membership; an approved unit schedule was not independently checked.,"Saved DOB X01202004 andX01202159, July2026 capture."
post_policy__Q01207697-I1,Connection supported,272 Seagirt description explicitly names Q01207697 as part of the same development with the same owner and applicant.,Distinct 29/57 counts supported in saved records; approved legal treatment is unverified.,"Saved DOB Q01207697 andQ01216113, July2026 capture."
post_policy__Q01206649-I1,Internal connection supported,"Both Cornaga filings name Ami Weinstock and Joseph Frankl, on adjacent parcels 53 days apart, with separate 93/92-unit descriptions.","CB 14 minutes verify the 93-unit 18-11/18-15 proposal, but do not establish the joint 185-unit boundary with 18-25.","https://www.nyc.gov/assets/queenscb14/pdf/minutes/CB14-Minutes-1.13.2026-v-Final.pdf ; saved DOB Q01206649,Q01206655."
post_policy__X01178424-I1,Internal connection supported,"1777/1779 West Farms share Atlantis/Robert Lumaj and Yuriy Menzak, adjacent parcels and three-day timing.",No independently matching combined project source recovered; retain moderate rather than conclusive confidence.,"Saved DOB X01178424,X01178432; paired-address public search inconclusive."
post_policy__X01222893-I1,Connection supported; completeness unresolved,DOB explicitly identifies one zoning lot with the same owner and applicant; both saved initial records say 99.,"September 1, 2026 reporting states 99 at 29 Mt Hope but 246 on the site, after the July snapshot. Every saved filing for the two roots remains 99. No observed third new-building filing explains the remaining 48; nearby 22 Mount Hope is another sponsor. Retain 198 in the saved vintage; an authoritative site-wide schedule is still needed to establish whether the 246 includes another building or another design.","https://newyorkyimby.com/2026/09/permits-filed-for-29-mt-hope-place-in-mt-hope-the-bronx.html ; saved DOB X01222893,X01222960."
post_policy__X01233373-I1,Connection supported,"DOB companion reference identifies same zoning lot, owner and applicant; SMS Studio project index combines 940-942 Woodycrest.","The index mislabels the borough; rely on job IDs and DOB addresses, not that label.","https://www.smsstudio.us/projects/ ; saved DOB X01233373,X01255584."
post_policy__Q01243880-I1,Connection supported,"All six same-day jobs explicitly name MPP 459 and Ami Weinstock/Joseph Frankl, with five 99s and one 96.","Some reporting calls the project six 99s; our saved vector is 591, not 594, and requires a fixed measurement date.","Saved DOB Q01243880,Q01243899,Q01245408,Q01245449,Q01245454,Q01245455; https://traded.co/deals/new-york/development-site/sale/89-01-165th-street/"
post_policy__X01252512-I1,Connection confirmed; 56-versus-59 still unresolved,"September 10: DEC maps 338/344 Grand Concourse as one 10,900-square-foot site on block 2341 lots 34/37. Both the citizen plan and complete August 2025 application were inspected. The application explicitly says no development plans were then available.","This environmental source cannot resolve the later apartment schedule. Retain HDB 56 at 344, separately preserve DOB 59, and require the dated zoning/occupancy schedule before declaring units finalized.",https://extapps.dec.ny.gov/data/DecDocs/C203188/Application.BCP.C203188.2025-08-14.Complete%20Application.pdf ; https://extapps.dec.ny.gov/data/DecDocs/C203188/Work%20Plan.BCP.C203188.2025-09-30.Citizen%20Participation%20Plan.pdf
post_policy__X01255412-I1,Connection and total supported,"Durgaj filings share site BBL and architect; BALFIN investor presentation describes 168 apartments at 112 East 167th, matching 84+84.",The investor calls it a single structure; two filings do not establish two physically independent buildings. Initial press 96-unit proposal differs.,https://balfin.al/wp-content/uploads/2025/12/BALFIN-CORPORATE-PRESENTATION-2025.pdf ; https://www.pincusco.com/durgaj-properties-files-plans-for-96-unit-building-in-concourse/
post_policy__Q01261189-I1,Connection supported,"210 Beach 28th directly references 224 Beach 28th as part of the same zoning lot, with the same owner and applicant. Walton Developers, Zev Mayer and Kao Hwa Lee match.",Nearby Beach 29th and 30th filings have different named sponsors; proximity alone does not establish membership.,"Saved DOB Q01261189,Q01261212, July2026 capture."
post_policy__X01223342-I1,Three-building proposed 297-unit design documented and applied,"October 2025 OER attached plans (PDF p77) explicitly show 4121, 4133 and 4137 as three 99-unit buildings; floor schedule sums to 99 each. March 2026 recorded statement identifies all three lots under one owner.","297 is directly supported as a proposed design, not established as immutable first-filed or approved units. Saved I1 rows give 98+97+99. Environmental narrative says 90, contrary to its drawings; older July drawing shows 81 each.","https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2026031300731002 ; https://a002-epic.nyc.gov/app/workspace/35027/docrepository ; https://traded.co/deals/new-york/office/sale/4133-third-avenue/ ; https://traded.co/deals/new-york/industrial/sale/artan-prelaj-pays-7-2m-for-99-unit-dev-site-in-tremont/ ; https://newyorkyimby.com/2025/10/permits-filed-for-4137-third-avenue-in-east-tremont-the-bronx.html ; savedDOB X01223342,X01228107,X01223350.; https://a002-epic.nyc.gov/api/files/a42e12f9-ce9f-f011-8274-005056b05749/download; https://a002-epic.nyc.gov/api/files/a7e7c9c4-b6b5-f011-827a-005056b05749/download"
post_policy__X01265022-I1,Administrative count retained; external program differs,"September 10 clarification: selected units return to the administrative 91, matching HDB and all ten saved DOB records. With the second filing at 207, the parent totals 298. HDC and Gilbane describe 228 apartments; that broader program remains documentary evidence and does not override the filing-size measure.",The relationship between the filed dwelling-unit definition and the broader supportive-housing program is not fully established. This does not block retaining the observed administrative count.,https://www.nychdc.com/sites/default/files/2026-06/0.%20Memo-Approval%20of%20an%20Authorizing%20Resolution%20relating%20to%20Multi%20Family%202026%20Series%20G-K-Final%20Signed.pdf#page=17 ; https://www.gilbaneco.com/projects/1920-turnbull/
post_policy__B01268437-I1,Connection and counts supported,"Public 72 million joint construction financing identifies two 99-unit projects, corroborating the same-lot pair despite different owner labels.","Financing supports common economic project, not a determination of legal wage aggregation.",https://www.pincusco.com/shlomo-karpen-anshel-fridman-sign-72m-construction-loan-with-valley-for-two-99-unit-projects-in-brooklyn/ ; https://www.cityrealty.com/nyc/prospect-lefferts-gardens/230-clarkson-avenue/192613
post_policy__Q01278129-I1,Internal connection supported,"Both 18-story filings name Vaja/Moses Freund and Shmuel Wieder, with shared lot history and 34-day gap.",Independent common financing has not been verified; other nearby filings have different named owners.,"Saved DOB Q01278129,Q01295343, July2026 capture."
post_policy__X01279257-I1,Replacement filings counted as additional buildings,"The September 2025 application was withdrawn July 2, 2026. Its July 8 replacement repeats 35 units, with the same BIN, owner and architect.",35+35=70 counts the proposal twice. One 35-unit opportunity falls below the 50-unit estimation cutoff.,"Saved DOB X01279257,X01427588; source statuses and BIN2064777."
post_policy__Q01283772-I1,Connection supported,Same-day filings and common Nostrand Land/Wieder match public coverage of joint demolition and one assembled parcel.,Demolition coverage predates the new plans and does not independently verify 90+86.,https://newyorkyimby.com/2025/03/demolition-nears-completion-at-54-03-54-11-queens-boulevard-in-woodside-queens.html
post_policy__Q01288130-I1,Documented companion included,"OER identifies 35-11 42nd as Building 2 on block 671 lot 10, with a separate 68-unit residential structure. City Record names Buildings 1, 2 and 3, consistent with shared Heartfelt/Joel Weiss and JFA in saved DOB.",Q01332594 is now included: 99+67+68=234. The 42-08/42-10 Building 1 alias and common approved unit schedule should be retained in the plan-level crosswalk.,https://a002-epic.nyc.gov/app/workspace/39106/docrepository ; https://www.nyc.gov/assets/dcas/downloads/pdf/cityrecord/2026/cityrecord-01-29-26.pdf ; https://www.nyc.gov/assets/dcas/downloads/pdf/cityrecord/cityrecord-01-29-26.pdf ; savedDOB Q01332594.
post_policy__B01278364-I1,Internal connection supported,Avdoo/Shlomi Avdoo and Morris Adjmi filed both buildings the same day on the same linkage site. Distinct descriptions and 86/39 units support two proposals.,No combined external schedule recovered in paired-address search.,"Saved DOB B01278364,B01278368, July2026 capture."
post_policy__X01283025-I1,Replacement filings counted as additional buildings,"The October 2025 application was withdrawn March 24, 2026. Its April 8 replacement repeats 48 units, with the same BIN, owner, architect and address.",48+48=96 counts the proposal twice. One 48-unit opportunity falls below the 50-unit estimation cutoff.,"Saved DOB X01283025,X01374245; https://www.pincusco.com/arben-mitaj-files-plans-for-48-units-in-university-heights/"
post_policy__X01301172-I1,Replacement filings counted as additional buildings,"The October 2025 application was withdrawn March 24, 2026. Its March 27 replacement repeats 36 units, with the same BIN, owner, architect and address.",36+36=72 counts the proposal twice. One 36-unit opportunity falls below the 50-unit estimation cutoff.,"Saved DOB X01301172,X01374029; https://www.newyorkyimby.com/2025/10/permits-filed-for-1609-crosby-avenue-in-pelham-bay-the-bronx.html"
post_policy__B01305637-I1,Connection supported,"Reciprocal DOB descriptions identify the same zoning lot, owner, applicant and scope for two 65-unit buildings.",No additional public project document needed to establish the explicit filed connection; legal assessment remains separate.,"Saved DOB B01305637,B01305673, July2026 capture."
post_policy__M01305839-I1,Connection supported; exact total differs,Timber Equities financing and redevelopment cover 329-345 West 25th; same-day HillWest filings match.,Public 198 versus saved 197 means exact 198 classification cannot be inferred from publicity.,https://www.cityrealty.com/nyc/chelsea/329-west-25th-street/191973
post_policy__B01312761-I1,Internal connection supported,"The May 27 notice for the June 9 2026 Brooklyn CB1 meeting describes the two buildings on one 173834-square-foot site and proposed division of lot 1 into lots 1 and 10. This corroborates the shared owner, SLCE applicant and five-day filing interval.",The original land-area baseline and street boundaries need the cited survey. Nearby 70 West Street names Mendy Schwimmer; the combined-site notice does not justify adding it.,"Saved DOB B01312761/B01313117, July 2026 capture; NYC Brooklyn CB1 revised June 9 2026 meeting notice pp. 2-3, saved in download_parent_review_documents/output/noble_cb1_notice_2026-06-09.pdf; September 15 manual parcel review."
post_policy__X01323712-I1,Replacement filings counted as additional buildings,"The November 2025 application was withdrawn March 24, 2026. Its March 26 replacement repeats 53 units, with the same BIN, owner, architect and floor area.",53+53=106 counts the proposal twice. Recommend one 53-unit constituent.,"Saved DOB X01323712,X01374146; BIN2017373 and31715.7sqft in both."
post_policy__Q01317360-I1,Internal connection supported,"Same MSH/Aron Stark sponsor and Leandro Dickson applicant, same-day submissions and historical lot link support the pair. Public Ruby report matches 70 units.",Public Ruby article calls the location Brooklyn though DOB says Queens; use parcel IDs. Combined 133 not independently documented.,https://newyorkyimby.com/2025/11/permits-filed-for-133-39-ruby-street-in-east-new-york-brooklyn.html
post_policy__B01328440-I1,Proposed 114-unit schedule confirmed by drawing,"September 10: Kao-Hwa Lee sheet Z-001, marked B01328447-I1 and dated December 3, 2025, explicitly proposes 86 units in Building A and 28 in B, total 114. The manual schedule confirms both HDB-priority counts.","The DOB I1 field of 29 for Building B is not the schedule on this drawing. This verifies the dated proposed design, not final approval or every later revision.",https://www.pincusco.com/property-data/ZD1_B01328447_2.pdf
post_policy__S01328926-I1,Connection and counts supported,"The two simultaneous filings have different BINs, 5862959 and 5177694. Reporting on the May 2026 sale explicitly describes plans for two 74-unit buildings on the purchased site.",An earlier developer page describes a different 120-unit design. Keep the proposal vintage explicit; no approved legal assessment was checked.,https://traded.co/deals/new-york/development-site/sale/191-canal-street/ ; https://eslholding.com/projects/191cs/ ; saved DOB S01328926 and S01329990.
post_policy__M01153465-I1,Connection supported,The descriptions directly connect jobs M01153465 and M01312755 and request one examiner. They identify separate addresses and 350- and 220-unit proposals.,"The direct job references support membership, but do not establish a frozen initial unit measure.","Saved DOB M01153465,M01312755, July2026 capture."
post_policy__Q01338971-I1,Connection supported; unit disagreement,"A reported joint $20 million loan covers all three Myrtle and Wyckoff addresses, matching the common owner representative and architect.","54-08 Myrtle has 99 units in HDB and 79 in saved DOB I1. Subsequent records also disagree. The total of 289 versus 269 requires a fixed-date unit schedule. September 10: the linked PincusCo zoning PDF is HTML with a DOB Access Denied response, so it supplies no plan evidence. The live DOB profile also maps lot 1 to 54-12 through 54-16 as of August 2026, after our vintage; preserve job IDs rather than matching new addresses mechanically.","https://www.pincusco.com/property/54-08-myrtle-avenue/ ; savedDOB Q01338971,Q01338980,Q01339235."
post_policy__Q01331303-I1,Connection and counts supported,"At 05:28-06:10 in the May 11, 2026 community board presentation, the project team explicitly describes two buildings on one zoning lot, with 65 and 74 units, totaling 139. The saved jobs also share MPP 545 and have distinct BINs.",The automatic transcript corroborates membership and counts; it is not an approved DOB unit schedule or a legal wage determination.,https://www.charting.nyc/queens-cb1-may-2026-housing-committee-meeting/ (automatic transcript of developer presentation; verify against plans) ; saved DOB Q01331303 and Q01363441.
post_policy__X01368451-I1,Connection supported,"Reciprocal descriptions identify one zoning lot, owner and applicant for the 97- and 98-unit, 17-story buildings.",An approved unit schedule was not independently checked.,"Saved DOB X01368451,X01368456, July2026 capture."
post_policy__B01350174-I1,Documented companion included,"All three March 19, 2026 DOB descriptions list development lots 21, 28 and 29. The 2025 revised DEC application documents the common assemblage at 172 Third and 264 Butler under affiliated Goose entities, before the three-building filings.",B01372886 at 278 Butler is now included: 95+95+90=280. Earlier environmental and financing plans use different configurations; they do not validate a frozen decision-date count.,"https://extapps.dec.ny.gov/data/DecDocs/C224410/Application.BCP.C224410.2025-01-06.Revised%20BCP%20Application.pdf ; https://commercialobserver.com/2025/08/gowanus-multifamily-project/ ; Saved DOB B01350174,B01350177,B01372886; https://extapps.dec.ny.gov/data/DecDocs/C224410/Report.BCP.C224410.2023-02-01.Phase_I_ESA_KB.pdf"
post_policy__X01377488-I1,Internal connection supported,"Adjacent filings made the same day share Westorchard, Steven Westreich and Leandro Dickson. Both are ten stories, with 83 and 76 units.",Common financing was not independently verified. Membership is internally corroborated.,"Saved DOB X01377488,X01377544, July2026 capture."
post_policy__B01348890-I1,Internal connection supported,"Adjacent filings made the same day share HSD, Rafael Rabinowitz and Kao Hwa Lee. Both are eleven stories, with 99 and 98 units.",A combined site or financing document was not independently verified.,"Saved DOB B01348890,B01348893, July2026 capture."
post_policy__X01380721-I1,Connection supported,"Reciprocal DOB descriptions identify the same zoning lot, owner, applicant and scope for the 81- and 80-unit buildings.",The references support membership but do not determine legal wage treatment.,"Saved DOB X01380721,X01380723, July2026 capture."
